NOMBRE,LINK,2020,2019,EXPEDIENTE,TIPO COMPAÑIA,ACTIVIDAD ECONÓMICA,REGION,PROVINCIA,CIUDAD,TAMAÑO,SECTOR,CANT. EMPLEADOS,ACTIVO2020,PATRIMONIO2020,INGRESOS POR VENTA2020,UTILIDAD ANTES DE 2020,UTILIDAD DEL EJERCICIO2020,UTILIDAD NETA2020,IR CAUSADO2020,INGRESO TOTAL2020
SCHLUMBERGER DEL ECUADOR,https://www.linkedin.com/company/schlumberger/people/?facetGeoRegion=ec%3A0&keywords=ecuador,13.0,12,146446.0,ANÓNIMA,"B0910.01 - ACTIVIDADES DE SERVICIOS DE EXTRACCIÓN DE PETRÓLEO Y GAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO: SONDEOS, EXPLORACIÓN (POR EJEMPLO: MÉTODOS TRADICIONALES DE PROSPECCIÓN, COMO OBSERVACIONES GEOLÓGICAS EN POSIBLES YACIMIENTOS); PERFORACIÓN DIRIGIDA Y REPERFORACIÓN; PERFORACIÓN INICIAL; ERECCIÓN, REPARACIÓN Y DESMANTELAMIENTO DE TORRES DE PERFORACIÓN, CEMENTACIÓN DE TUBOS DE ENCAMISADO DE LOS POZOS DE PETRÓLEO Y GAS, BOMBEO, TAPONAMIENTO Y ABANDONO DE POZOS, ETCÉTERA; LICUEFACCIÓN Y REGASIFICACIÓN DE GAS NATURAL PARA SU TRANSPORTE, REALIZADAS EN EL LUGAR DE EXTRACCIÓN; DRENAJE Y BOMBEO.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,923.0,562901206.0,"469,308,593.0","344,575,690.0","13,862,098.70","16,308,352.00",6700121.75,"7,161,976.95","346,110,183.00"
HOLCIM ECUADOR,https://ec.linkedin.com/company/holcim-ecuador?trk=companies_directory,14.0,13,2308.0,ANÓNIMA,"C2394.01 - FABRICACIÓN DE CEMENTOS HIDRÁULICOS, INCLUIDO CEMENTO DE PÓRTLAND, CEMENTO ALUMINOSO, CEMENTO DE ESCORIAS Y CEMENTO HIPERSULFATADO.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,736.0,544525429.02,"399,434,372.5","312,449,493.7","102,129,691.0","114,741,651.26",85901986.42,"16,739,830.70","312,884,101.01"
TIENDAS INDUSTRIALES ASOCIADAS TIA,https://ec.linkedin.com/company/almacenestia?trk=companies_directory,15.0,19,3502.0,ANÓNIMA,"G4711.01 - VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,7854.0,537151371.19,"97,979,118.08","701,575,673.2","38,662,430.91","56,665,172.22",29030364.57,"9,632,066.34","702,874,559.62"
"UNION CEMENTERA NACIONAL, UCEM",https://ec.linkedin.com/company/union-cementera-nacional-s-a?trk=companies_directory,16.0,17,175121.0,ANÓNIMA,"C2395.01 - FABRICACIÓN DE COMPONENTES ESTRUCTURALES Y MATERIALES PREFABRICADOS PARA OBRAS DE CONSTRUCCIÓN O DE INGENIERÍA CIVIL DE HORMIGÓN, CEMENTO, PIEDRA ARTIFICIAL O YESO: LOSETAS, LOSAS, BALDOSAS, LADRILLOS, BLOQUES, PLANCHAS, PANELES, LÁMINAS, TABLEROS, CAÑOS, TUBOS, POSTES, ETCÉTERA.",SIERRA,CHIMBORAZO                                        ,RIOBAMBA                                          ,GRANDE,SOCIETARIO,602.0,535578755.0,"310,748,229.0","126,166,208.0","13,585,814.90","15,983,312.00",11618070.2,"1,967,744.79","129,876,143.00"
DPWORLD POSORJA,https://www.linkedin.com/company/dp-world/people/?facetGeoRegion=ec%3A0,18.0,14,707891.0,ANÓNIMA,"F4290.11 - CONSTRUCCIÓN DE VÍAS DE NAVEGACIÓN, OBRAS PORTUARIAS Y FLUVIALES, PUERTOS DEPORTIVOS, ESCLUSAS, PRESAS Y DIQUES.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,567.0,503939185.0,"63,840,687.00","29,500,135.70","-38,835,253.0","-38,835,253.00",-38835253.0,0.00,"31,555,039.40"
LA FABRIL,https://ec.linkedin.com/company/la-fabril-s-a?trk=companies_directory,19.0,26,742.0,ANÓNIMA,"C1040.11 - ELABORACIÓN DE ACEITES CRUDOS VEGETALES (SIN REFINAR) DE: OLIVA, SOYA, PALMA, SEMILLA DE GIRASOL, SEMILLA DE ALGODÓN, COLZA, REPOLLO O MOSTAZA, LINAZA, ETCÉTERA.",COSTA,MANABI                                            ,MONTECRISTI                                       ,GRANDE,MERCADO DE VALORES,3308.0,496760005.64,"142,516,020.0","489,100,748.0","5,405,308.31","6,363,186.26",4107362.0,"2,428,914.08","507,139,223.61"
CERVECERIA NACIONAL CN,https://ec.linkedin.com/company/cervecerianacional?trk=companies_directory,20.0,25,2448.0,ANÓNIMA,"C1103.01 - ELABORACIÓN DE BEBIDAS MALTEADAS COMO: CERVEZAS CORRIENTES DE FERMENTACIÓN ALTA, NEGRAS Y FUERTES, INCLUIDA CERVEZA DE BAJA GRADUACIÓN O SIN ALCOHOL.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,803.0,465730804.74,"117,618,336.1","285,126,918.5","75,382,695.90","88,688,287.46",54688270.41,"21,371,061.44","290,614,485.42"
ACERIA DEL ECUADOR CA ADELCA.,https://ec.linkedin.com/company/adelca?trk=companies_directory,21.0,24,2.0,ANÓNIMA,"C2410.25 - FABRICACIÓN DE ÁNGULOS, PERFILES Y SECCIONES ABIERTAS DE ACERO LAMINADAS EN CALIENTE Y MEDIANTE CONFORMACIÓN PROGRESIVA EN UN LAMINADOR DE RULOS O MEDIANTE PLEGADO EN UNA PRENSA DE PRODUCTOS LAMINADOS PLANOS DE ACERO.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,MERCADO DE VALORES,1156.0,454061629.33,"202,583,222.1","220,606,230.8","7,832,079.27","8,584,181.59",6886776.58,"945,302.69","222,018,616.45"
ANDES PETROLEUM ECUADOR LTD.,https://www.linkedin.com/company/andes-petroleum-company/?originalSubdomain=ec,22.0,16,45534.0,SUCURSAL  EXTRANJERA,"B0610.00 - EXTRACCIÓN DE ACEITES CRUDOS DE PETRÓLEO, ESQUISTOS BITUMINOSOS Y ARENAS ALQUITRANADAS, PRODUCCIÓN DE PETRÓLEO CRUDO DE ESQUISTOS Y ARENAS BITUMINOSAS, PROCESOS DE OBTENCIÓN DE CRUDOS: DECANTACIÓN, DESALADO, DESHIDRATACIÓN, ESTABILIZACIÓN, ETCÉTERA.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,632.0,452707330.0,"325,715,618.0","226,881,416.0","27,030,035.40","32,411,184.00",19406741.0,"7,623,294.38","281,160,115.00"
COMPANIA GENERAL DE COMERCIO Y MANDATO SOCIEDAD ANONIMA,https://www.linkedin.com/company/comandato-s-a/people/?facetGeoRegion=ec%3A0,24.0,36,2173.0,ANÓNIMA,"G4759.05 - VENTA AL POR MENOR DE ELECTRODOMÉSTICOS EN ESTABLECIMIENTOS ESPECIALIZADOS: REFRIGERADORAS, COCINAS, MICROONDAS, ETCÉTERA.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,1125.0,413522191.93,"60,947,218.41","110,979,737.6",0.00,"-20,197,601.21",0.0,0.00,"110,979,737.62"
DISTRIBUIDORA FARMACEUTICA ECUATORIANA (DIFARE),https://ec.linkedin.com/company/grupo-difare?trk=companies_directory,25.0,31,44313.0,ANÓNIMA,"G4649.22 - VENTA AL POR MAYOR DE PRODUCTOS FARMACÉUTICOS, INCLUSO VETERINARIOS.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,3672.0,402851640.96,"79,504,695.17","850,880,294.1","29,018,904.05","731,855,281.32",23157739.37,"5,861,164.68","850,880,294.12"
EMPACADORA GRUPO GRANMAR EMPAGRAN,https://ec.linkedin.com/company/empagran?trk=companies_directory,26.0,28,20090.0,ANÓNIMA,"A0321.02 - EXPLOTACIÓN DE CRIADEROS DE CAMARONES (CAMARONERAS), CRIADEROS DE LARVAS  DE CAMARÓN (LABORATORIOS DE LARVAS DE CAMARÓN).",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,1230.0,390603175.87,"115,082,045.9","162,947,329.6","-11,455,587.8","-11,455,587.85",-12485611.37,"1,295,412.19","168,742,414.84"
SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS SA,https://ec.linkedin.com/company/sociedad-agr-cola-e-industrial-san-carlos-?trk=companies_directory,27.0,29,2234.0,ANÓNIMA,"C1072.02 - ELABORACIÓN Y REFINADO DE AZÚCAR DE CAÑA Y MELAZA DE CAÑA; REMOLACHA AZUCARERA, ETCÉTERA.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,2304.0,375330544.53,"256,792,483.9","134,022,836.0","4,226,305.81","4,972,124.48",3130786.79,"657,377.22","145,482,579.25"
NEGOCIOS INDUSTRIALES REAL N.I.R.,https://ec.linkedin.com/company/negocios-industriales-real-nirsa-s-a?trk=companies_directory,28.0,33,3215.0,ANÓNIMA,"G4630.33 - VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,5818.0,372882238.0,"118,814,844.0","411,125,107.0","-342,259,085.","3,061,399.00",-343796681.0,"1,537,596.63","417,991,925.00"
REYBANPAC REY BANANO DEL PACIFICO C.L.,https://www.linkedin.com/company/reybanpac/?originalSubdomain=ec,29.0,20,9134.0,RESPONSABILIDAD LIMITADA,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,MERCADO DE VALORES,6875.0,368879824.77,"187,307,881.5","259,801,502.1","10,194,447.99","11,993,468.22",6818727.7,"3,375,720.29","262,935,682.22"
ALMACENES DE PRATI SA,https://ec.linkedin.com/company/almacenes-de-prati-?trk=companies_directory,31.0,32,3135.0,ANÓNIMA,"G4711.01 - VENTA AL POR MENOR DE GRAN VARIEDAD DE PRODUCTOS EN TIENDAS, ENTRE LOS QUE PREDOMINAN, LOS PRODUCTOS ALIMENTICIOS, LAS BEBIDAS O EL TABACO, COMO PRODUCTOS DE PRIMERA NECESIDAD Y VARIOS OTROS TIPOS DE PRODUCTOS, COMO PRENDAS DE VESTIR, MUEBLES, APARATOS, ARTÍCULOS DE FERRETERÍA, COSMÉTICOS, ETCÉTERA.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,437.0,363335123.0,"257,583,411.0","181,590,176.0","18,573,318.10","21,850,962.00",13226947.6,"5,346,370.46","208,951,975.00"
PTIE- PHOENIX TOWER INTERNATIONAL ECUADOR,https://www.linkedin.com/company/phoenix-tower-international/?originalSubdomain=ec,32.0,65,715075.0,ANÓNIMA,"F4321.01 - INSTALACIÓN DE ACCESORIOS ELÉCTRICOS, LÍNEAS DE TELECOMUNICACIONES, REDES INFORMÁTICAS Y LÍNEAS DE TELEVISIÓN POR CABLE, INCLUIDAS LÍNEAS DE FIBRA ÓPTICA, ANTENAS PARABÓLICAS. INCLUYE CONEXIÓN DE APARATOS ELÉCTRICOS, EQUIPO DOMÉSTICO Y SISTEMAS DE CALEFACCIÓN RADIANTE.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,15.0,360764250.0,"158,110,093.0","20,183,440.70","-37,178,079.0","-37,178,078.90",-37178079.0,0.00,"20,183,440.70"
GISIS,https://ec.linkedin.com/company/gisis-s-a-?trk=companies_directory,33.0,42,70689.0,ANÓNIMA,"C1080.02 - FABRICACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES DE GRANJA (AVES, GANADO VACUNO, PORCINO, ETCÉTERA), ANIMALES ACUÁTICOS, INCLUIDOS ALIMENTOS CONCENTRADOS, SUPLEMENTOS ALIMENTICIOS, LA PREPARACIÓN DE ALIMENTOS SIN MEZCLAR (ELABORADOS A PARTIR DE UN ÚNICO PRODUCTO) Y LOS OBTENIDOS DEL TRATAMIENTO DE DESPERDICIOS DE MATADEROS.",COSTA,GUAYAS                                            ,ELOY ALFARO (DURAN)                               ,GRANDE,SOCIETARIO,658.0,359805892.0,"183,337,230.0","498,000,729.0","70,743,643.70","83,227,816.00",62079819.9,"8,663,823.87","500,239,280.00"
INTERNATIONAL WATER SERVICES ( GUAYAQUIL ) INTERAGUA C. LTDA.,https://ec.linkedin.com/company/interagua-ec?trk=companies_directory,34.0,37,103476.0,RESPONSABILIDAD LIMITADA,"E3700.00 - ACTIVIDADES DE GESTIÓN DE SISTEMAS DE ALCANTARILLADO Y DE INSTALACIONES DE TRATAMIENTO DE AGUAS RESIDUALES; RECOLECCIÓN Y TRANSPORTE DE AGUAS RESIDUALES HUMANAS O INDUSTRIALES DE UNO O DIVERSOS USUARIOS, ASÍ COMO DE AGUA DE LLUVIA, POR MEDIO DE REDES DE ALCANTARILLADO, COLECTORES, TANQUES Y OTROS MEDIOS DE TRANSPORTE (CAMIONES CISTERNA DE RECOGIDA DE AGUAS NEGRAS, ETCÉTERA); VACIADO Y LIMPIEZA DE POZOS NEGROS Y FOSAS SÉPTICAS, FOSOS Y POZOS DE ALCANTARILLADOS; MANTENIMIENTO DE INODOROS DE ACCIÓN QUÍMICA; TRATAMIENTO DE AGUAS RESIDUALES (INCLUIDAS AGUAS RESIDUALES HUMANAS E INDUSTRIALES, AGUA DE PISCINAS, ETCÉTERA) MEDIANTE PROCESOS FÍSICOS, QUÍMICOS Y BIOLÓGICOS COMO LOS DE DILUCIÓN, CRIBADO, FILTRACIÓN, SEDIMENTACIÓN, ETCÉTERA; MANTENIMIENTO Y LIMPIEZA DE CLOACAS Y ALCANTARILLAS, INCLUIDO EL DESATASCO DE CLOACAS.",COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,938.0,350298712.0,"158,468,167.0","164,681,313.0","-3,263,920.40","21,759,470.00",-7841510.5,"4,577,590.10","170,991,377.00"
ENAP SIPETROL,https://www.linkedin.com/company/enap-sipetrol-s.a./?originalSubdomain=ec,35.0,44,47559.0,SUCURSAL  EXTRANJERA,"B0610.00 - EXTRACCIÓN DE ACEITES CRUDOS DE PETRÓLEO, ESQUISTOS BITUMINOSOS Y ARENAS ALQUITRANADAS, PRODUCCIÓN DE PETRÓLEO CRUDO DE ESQUISTOS Y ARENAS BITUMINOSAS, PROCESOS DE OBTENCIÓN DE CRUDOS: DECANTACIÓN, DESALADO, DESHIDRATACIÓN, ESTABILIZACIÓN, ETCÉTERA.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,162.0,349491326.0,"161,685,870.0","190,023,566.0","100,745,810.0","116,879,503.50",77889743.0,"22,856,066.50","190,258,139.00"
ALMACENES JUAN ELJURI CIA. LTDA.,https://ec.linkedin.com/company/juaneljuri?trk=companies_directory,36.0,35,30152.0,RESPONSABILIDAD LIMITADA,"G4649.11 - VENTA AL POR MAYOR DE ELECTRODOMÉSTICOS Y APARATOS DE USO DOMÉSTICO: REFRIGERADORAS, COCINAS, LAVADORAS, ETCÉTERA. INCLUYE EQUIPOS DE TELEVISIÓN, ESTÉREOS (EQUIPOS DE SONIDO), EQUIPOS DE GRABACIÓN Y REPRODUCTORES DE CD Y DVD, CINTAS DE AUDIO Y VIDEO CDS, DVD GRABADAS.",SIERRA,AZUAY                                             ,CUENCA                                            ,GRANDE,SOCIETARIO,591.0,346289666.0,"28,355,413.60","100,827,810.0","-72,857,396.0","-1,092.00",-73916299.0,"1,058,902.65","111,601,966.00"
GERARDO ORTIZ E HIJOS C LTDA,https://www.linkedin.com/company/gerardo-ortiz-e-hijos/,39.0,51,30514.0,RESPONSABILIDAD LIMITADA,G4690.00 - VENTA AL POR MAYOR DE DIVERSOS PRODUCTOS SIN ESPECIALIZACIÓN.,COSTA,GUAYAS                                            ,GUAYAQUIL                                         ,GRANDE,SOCIETARIO,320.0,328269066.0,"137,326,012.0","369,714,620.0","24,796,401.20","29,172,237.00",18014096.4,"6,782,304.85","372,476,516.00"
SUDAMERICANA INTEGRAL DE CONSTRUCCIONES SUDINCO,https://www.linkedin.com/in/sudamericana-integral-de-construcciones-sudinco-s-a-85a505171/?originalSubdomain=ec,40.0,39,12800.0,ANÓNIMA,"F4210.12 - OBRAS DE SUPERFICIE EN CALLES, CARRETERAS, AUTOPISTAS, PUENTES O TÚNELES, ASFALTADO DE CARRETERA, PINTURA Y OTROS TIPOS DE MARCADO DE CARRETERA, INSTALACIÓN DE BARRERAS DE EMERGENCIA, SEÑALES DE TRÁFICO Y ELEMENTOS SIMILARES. INCLUYE LA CONSTRUCCIÓN DE PISTAS PARA AEROPUERTOS.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,1035.0,327048968.0,"306,134,279.0","85,939,021.20","6,916,678.08","8,052,457.30",4570319.27,"2,346,358.81","89,887,514.30"
PLUSPETROL ECUADOR B.V.,https://www.linkedin.com/company/pluspetrol/?originalSubdomain=ec,42.0,45,86185.0,SUCURSAL  EXTRANJERA,"B0610.00 - EXTRACCIÓN DE ACEITES CRUDOS DE PETRÓLEO, ESQUISTOS BITUMINOSOS Y ARENAS ALQUITRANADAS, PRODUCCIÓN DE PETRÓLEO ",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,251.0,296362616.0,"246,090,018.0","70,692,586.50","26,625.09","26,625.00",26625.09,0.00,"71,106,586.50"
CNPC CHUANQING DRILLING ENGINEERING COMPANY LIMITED,https://www.linkedin.com/company/cnpc-chuanqing-drilling-engineering-company-limited-ccdc-/?originalSubdomain=ec,43.0,47,91881.0,SUCURSAL  EXTRANJERA,"B0910.01 - ACTIVIDADES DE SERVICIOS DE EXTRACCIÓN DE PETRÓLEO Y GAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATO: SONDEOS, EXPLORACIÓN (POR EJEMPLO: MÉTODOS TRADICIONALES DE PROSPECCIÓN, COMO OBSERVACIONES GEOLÓGICAS EN POSIBLES YACIMIENTOS); PERFORACIÓN DIRIGIDA Y REPERFORACIÓN; PERFORACIÓN INICIAL; ERECCIÓN, REPARACIÓN Y DESMANTELAMIENTO DE TORRES DE PERFORACIÓN, CEMENTACIÓN DE TUBOS DE ENCAMISADO DE LOS POZOS DE PETRÓLEO Y GAS, BOMBEO, TAPONAMIENTO Y ABANDONO DE POZOS, ETCÉTERA; LICUEFACCIÓN Y REGASIFICACIÓN DE GAS NATURAL PARA SU TRANSPORTE, REALIZADAS EN EL LUGAR DE EXTRACCIÓN; DRENAJE Y BOMBEO.",SIERRA,PICHINCHA                                         ,QUITO                                             ,GRANDE,SOCIETARIO,661.0,286469052.0,"25,792,420.50","92,809,465.70","-1,514,337.90","-1,514,338.00",-1664778.9,"150,440.97","95,895,287.50"
